cohort,seed,g_mode,valence_name,n,pred_trend_UP_minus_DOWN,true_trend_UP_minus_DOWN,q_UP_minus_DOWN,q_entropy,delta_trend_ud_from_actual,delta_q_ud_from_actual,kl_q_actual_to_mode,body_state,body_u
full,0,actual,bottom,200,0.11695886082947254,0.086384168677032,0.25432023473083976,1.5244066625833512,0.0,0.0,0.0,0.413052357211709,-0.3817934770894009
full,0,actual,mid,200,0.13176663126796484,0.13169829193502663,0.25474427446722986,1.522416422367096,0.0,0.0,0.0,0.5252698493003846,0.1143636176705151
full,0,actual,top,200,0.05160026803612709,0.0558358777500689,0.09400850284844636,1.5939442473649978,0.0,0.0,0.0,0.7420186537504196,1.1474372763994907
full,0,mean,bottom,200,0.12134871251881123,0.086384168677032,0.26357161462306977,1.5186904841661453,0.004646688625216484,0.00979533039033413,0.00018431479959872378,0.413052357211709,-0.3817934770894009
full,0,mean,mid,200,0.13171893786638975,0.13169829193502663,0.2536746921762824,1.5231060212850571,0.0016374839097261428,0.0036498110368847845,5.063798610308368e-05,0.5252698493003846,0.1143636176705151
full,0,mean,top,200,0.05206023337319493,0.0558358777500689,0.0948857170343399,1.593726082444191,0.0012412108294665813,0.0021642514690756796,1.214923834226056e-05,0.7420186537504196,1.1474372763994907
full,0,random,bottom,200,0.12119840662926436,0.086384168677032,0.26323907673358915,1.5188455611467362,0.004986354373395443,0.010435055866837501,0.0002143692682193432,0.413052357211709,-0.3817934770894009
full,0,random,mid,200,0.1316988280415535,0.13169829193502663,0.2537447243928909,1.5230964720249176,0.0020082657411694526,0.004664829820394516,8.780181248312147e-05,0.5252698493003846,0.1143636176705151
full,0,random,top,200,0.05230145708657801,0.0558358777500689,0.0952923921123147,1.5936192399263382,0.002559742284938693,0.004434676691889763,4.79220516353962e-05,0.7420186537504196,1.1474372763994907
full,0,shuffled,bottom,200,0.1197366076335311,0.086384168677032,0.26022716738283636,1.5208036535978318,0.004402912743389606,0.009300801455974578,0.00018199867998305307,0.413052357211709,-0.3817934770894009
full,0,shuffled,mid,200,0.1322678419575095,0.13169829193502663,0.2558801230788231,1.5218159580230712,0.0023465677350759506,0.005172688663005829,9.974159179250819e-05,0.5252698493003846,0.1143636176705151
full,0,shuffled,top,200,0.05320496237836778,0.0558358777500689,0.09696010362356901,1.593208379149437,0.002594913626089692,0.004601936638355255,5.4411890030223734e-05,0.7420186537504196,1.1474372763994907
full,0,zero,bottom,200,0.0784927754662931,0.086384168677032,0.169066276922822,1.5707520163059234,0.03846608536317944,0.08525395780801773,0.009633624074049295,0.413052357211709,-0.3817934770894009
full,0,zero,mid,200,0.13146829169243573,0.13169829193502663,0.2718434236943722,1.5135477137565614,0.023030120804905893,0.051990974098443984,0.00658515201532282,0.5252698493003846,0.1143636176705151
full,0,zero,top,200,0.08773914625868201,0.0558358777500689,0.1578800554201007,1.5720984053611755,0.036138878222554925,0.06387155257165432,0.006289820071542635,0.7420186537504196,1.1474372763994907
